"customerkey","geographykey","customeralternatekey","title","fullname","birthdate","maritalstatus","gender","yearlyincome","totalchildren","numberchildrenathome","englisheducation","spanisheducation","frencheducation","englishoccupation","numbercarsowned","addressline1","addressline2","phone","datefirstpurchase","commutedistance"
11021,536,"AW00011021",NULL,"Destiny Wilson","1984-03-02","S","F","40000.00",0,0,"Partial College","Estudios universitarios (en curso)","Baccalauréat","Skilled Manual",1,"8148 W. Lake Dr.",NULL,"622-555-0158","2022-01-23","1-2 Miles"
11022,609,"AW00011022",NULL,"Ethan Zhang","1984-04-10","M","M","40000.00",0,0,"Partial College","Estudios universitarios (en curso)","Baccalauréat","Skilled Manual",1,"1769 Nicholas Drive",NULL,"589-555-0185","2022-01-20","5-10 Miles"
11023,298,"AW00011023",NULL,"Seth Edwards","1984-04-09","M","M","40000.00",0,0,"Partial College","Estudios universitarios (en curso)","Baccalauréat","Skilled Manual",1,"4499 Valley Crest",NULL,"452-555-0188","2022-02-17","1-2 Miles"
11024,311,"AW00011024",NULL,"Russell Xie","1984-03-16","M","M","60000.00",0,0,"Partial College","Estudios universitarios (en curso)","Baccalauréat","Skilled Manual",2,"8734 Oxford Place",NULL,"746-555-0186","2022-06-27","5-10 Miles"
11025,24,"AW00011025",NULL,"Alejandro Beck","1951-06-22","M","M","10000.00",2,1,"Partial High School","Educación secundaria (en curso)","Niveau bac","Clerical",2,"2596 Franklin Canyon Road",NULL,"1 (11) 500 555-0178","2020-01-06","1-2 Miles"
11026,4,"AW00011026",NULL,"Harold Sai","1951-10-01","S","M","30000.00",2,0,"Partial College","Estudios universitarios (en curso)","Baccalauréat","Clerical",2,"8211 Leeds Ct.",NULL,"1 (11) 500 555-0131","2020-01-23","1-2 Miles"
11027,40,"AW00011027",NULL,"Jessie Zhao","1952-06-05","M","M","30000.00",2,0,"Partial College","Estudios universitarios (en curso)","Baccalauréat","Clerical",2,"213 Valencia Place",NULL,"1 (11) 500 555-0184","2020-01-16","5-10 Miles"
11028,17,"AW00011028",NULL,"Jill Jimenez","1951-10-09","M","F","30000.00",2,0,"Partial College","Estudios universitarios (en curso)","Baccalauréat","Clerical",2,"9111 Rose Ann Ave",NULL,"1 (11) 500 555-0116","2020-01-26","1-2 Miles"
11191,310,"AW00011191",NULL,"Kristi Perez","1951-06-17","S","F","70000.00",5,0,"Bachelors","Licenciatura","Bac + 4","Management",3,"1769 Lislin Ct",NULL,"123-555-0181","2020-08-11","10+ Miles"
11029,32,"AW00011029",NULL,"Jimmy Moreno","1952-06-19","M","M","30000.00",2,0,"Partial College","Estudios universitarios (en curso)","Baccalauréat","Clerical",2,"6385 Mark Twain",NULL,"1 (11) 500 555-0146","2020-01-19","1-2 Miles"
11030,28,"AW00011030",NULL,"Bethany Yuan","1958-02-18","M","F","10000.00",2,1,"Partial High School","Educación secundaria (en curso)","Niveau bac","Clerical",2,"636 Vine Hill Way",NULL,"1 (11) 500 555-0182","2020-02-05","1-2 Miles"
11031,8,"AW00011031",NULL,"Theresa Ramos","1953-02-18","M","F","20000.00",4,0,"High School","Educación secundaria","Bac + 2","Skilled Manual",2,"6465 Detroit Ave.",NULL,"1 (11) 500 555-0195","2020-02-01","1-2 Miles"
11032,35,"AW00011032",NULL,"Denise Stone","1952-12-08","M","F","20000.00",4,0,"High School","Educación secundaria","Bac + 2","Skilled Manual",2,"626 Bentley Street",NULL,"1 (11) 500 555-0169","2020-02-18","1-2 Miles"
11033,9,"AW00011033",NULL,"Jaime Nath","1958-09-19","M","M","20000.00",4,0,"High School","Educación secundaria","Bac + 2","Skilled Manual",2,"5927 Rainbow Dr",NULL,"1 (11) 500 555-0137","2020-02-15","5-10 Miles"
11034,12,"AW00011034",NULL,"Ebony Gonzalez","1952-12-16","M","F","20000.00",4,0,"High School","Educación secundaria","Bac + 2","Skilled Manual",2,"5167 Condor Place",NULL,"1 (11) 500 555-0136","2020-02-01","5-10 Miles"
11035,33,"AW00011035",NULL,"Wendy Dominguez","1953-08-23","M","F","10000.00",2,1,"Partial High School","Educación secundaria (en curso)","Niveau bac","Clerical",2,"1873 Mt. Whitney Dr",NULL,"1 (11) 500 555-0177","2020-02-06","1-2 Miles"
11036,343,"AW00011036",NULL,"Jennifer Russell","1984-06-16","M","F","60000.00",0,0,"Partial College","Estudios universitarios (en curso)","Baccalauréat","Skilled Manual",2,"3981 Augustine Drive",NULL,"115-555-0183","2022-01-22","1-2 Miles"
11037,49,"AW00011037",NULL,"Chloe Garcia","1983-05-27","S","F","40000.00",0,0,"Partial High School","Educación secundaria (en curso)","Niveau bac","Clerical",2,"8915 Woodside Way",NULL,"229-555-0112","2022-01-20","5-10 Miles"
11038,6,"AW00011038",NULL,"Diana Hernandez","1953-09-20","M","F","10000.00",2,1,"Partial High School","Educación secundaria (en curso)","Niveau bac","Clerical",2,"8357 Sandy Cove Lane",NULL,"1 (11) 500 555-0114","2020-02-07","5-10 Miles"
11039,19,"AW00011039",NULL,"Marc Martin","1954-06-16","M","M","30000.00",3,0,"Partial College","Estudios universitarios (en curso)","Baccalauréat","Clerical",2,"9353 Creekside Dr.",NULL,"1 (11) 500 555-0183","2020-02-07","5-10 Miles"
11040,642,"AW00011040",NULL,"Jesse Murphy","1983-01-29","M","M","30000.00",0,0,"Partial College","Estudios universitarios (en curso)","Baccalauréat","Skilled Manual",2,"3350 Kingswood Circle",NULL,"961-555-0176","2022-04-03","1-2 Miles"
11041,325,"AW00011041",NULL,"Amanda Carter","1983-04-15","M","F","60000.00",0,0,"Partial College","Estudios universitarios (en curso)","Baccalauréat","Skilled Manual",2,"5826 Escobar",NULL,"295-555-0145","2022-01-14","1-2 Miles"
11042,338,"AW00011042",NULL,"Megan Sanchez","1982-12-11","M","F","70000.00",0,0,"Partial College","Estudios universitarios (en curso)","Baccalauréat","Skilled Manual",2,"1397 Paraiso Ct.",NULL,"404-555-0199","2022-01-21","0-1 Miles"
11043,325,"AW00011043",NULL,"Nathan Simmons","1981-08-23","M","M","60000.00",0,0,"Partial College","Estudios universitarios (en curso)","Baccalauréat","Skilled Manual",2,"1170 Shaw Rd",NULL,"296-555-0181","2022-05-08","5-10 Miles"
11044,25,"AW00011044",NULL,"Adam Flores","1954-11-21","M","M","20000.00",2,1,"Partial High School","Educación secundaria (en curso)","Niveau bac","Clerical",2,"6935 Candle Dr",NULL,"1 (11) 500 555-0163","2020-02-28","1-2 Miles"
11045,8,"AW00011045",NULL,"Leonard Nara","1955-11-16","S","M","30000.00",3,0,"High School","Educación secundaria","Bac + 2","Skilled Manual",2,"7466 La Vista Ave.",NULL,"1 (11) 500 555-0151","2022-04-10","1-2 Miles"
11046,6,"AW00011046",NULL,"Christine Yuan","1955-09-19","M","F","30000.00",3,0,"High School","Educación secundaria","Bac + 2","Skilled Manual",2,"2356 Orange St",NULL,"1 (11) 500 555-0113","2020-02-06","5-10 Miles"
11047,34,"AW00011047",NULL,"Jaclyn Lu","1955-08-27","M","F","30000.00",3,0,"High School","Educación secundaria","Bac + 2","Skilled Manual",2,"2812 Mazatlan",NULL,"1 (11) 500 555-0137","2020-02-03","1-2 Miles"
11048,39,"AW00011048",NULL,"Jeremy Powell","1956-05-21","M","M","30000.00",3,0,"High School","Educación secundaria","Bac + 2","Skilled Manual",2,"1803 Potomac Dr.",NULL,"1 (11) 500 555-0183","2020-02-10","5-10 Miles"
11049,307,"AW00011049",NULL,"Carol Rai","1986-01-15","S","F","40000.00",0,0,"Partial High School","Educación secundaria (en curso)","Niveau bac","Clerical",2,"6064 Madrid",NULL,"654-555-0180","2022-03-09","5-10 Miles"
11050,31,"AW00011050",NULL,"Alan Zheng","1957-03-06","M","M","30000.00",3,0,"High School","Educación secundaria","Bac + 2","Skilled Manual",2,"2741 Gainborough Dr.",NULL,"1 (11) 500 555-0135","2020-02-20","5-10 Miles"
11051,21,"AW00011051",NULL,"Daniel Johnson","1957-01-31","S","M","30000.00",3,0,"High School","Educación secundaria","Bac + 2","Skilled Manual",2,"8085 Sunnyvale Avenue",NULL,"1 (11) 500 555-0155","2022-12-29","1-2 Miles"
11052,8,"AW00011052",NULL,"Heidi Lopez","1957-02-03","S","F","40000.00",2,0,"Partial College","Estudios universitarios (en curso)","Baccalauréat","Clerical",2,"2514 Via Cordona",NULL,"1 (11) 500 555-0168","2020-02-17","5-10 Miles"
11053,359,"AW00011053",NULL,"Ana Price","1986-02-17","M","F","60000.00",0,0,"Partial College","Estudios universitarios (en curso)","Baccalauréat","Skilled Manual",2,"1660 Stonyhill Circle",NULL,"859-555-0113","2022-01-17","1-2 Miles"
11054,34,"AW00011054",NULL,"Deanna Munoz","1957-09-07","M","F","40000.00",2,0,"Partial College","Estudios universitarios (en curso)","Baccalauréat","Skilled Manual",2,"5825 B Way",NULL,"1 (11) 500 555-0192","2020-02-03","5-10 Miles"
11055,22,"AW00011055",NULL,"Gilbert Raje","1957-09-02","M","M","40000.00",2,0,"Partial College","Estudios universitarios (en curso)","Baccalauréat","Skilled Manual",2,"8811 The Trees Dr.",NULL,"1 (11) 500 555-0129","2020-01-31","5-10 Miles"
11056,10,"AW00011056",NULL,"Michele Nath","1958-10-01","M","F","40000.00",3,0,"Partial College","Estudios universitarios (en curso)","Baccalauréat","Skilled Manual",2,"5464 Janin Pl.",NULL,"1 (11) 500 555-0178","2020-02-26","5-10 Miles"
11057,5,"AW00011057",NULL,"Carl Andersen","1970-04-07","M","M","70000.00",2,0,"Graduate Degree","Estudios de postgrado","Bac + 3","Management",2,"6930 Lake Nadine Place",NULL,"1 (11) 500 555-0181","2020-02-22","1-2 Miles"
11058,29,"AW00011058",NULL,"Marc Diaz","1965-04-23","M","M","80000.00",2,0,"Partial College","Estudios universitarios (en curso)","Baccalauréat","Skilled Manual",2,"6645 Sinaloa",NULL,"1 (11) 500 555-0149","2020-03-09","1-2 Miles"
11059,27,"AW00011059",NULL,"Ashlee Andersen","1959-09-29","S","F","80000.00",2,0,"Partial College","Estudios universitarios (en curso)","Baccalauréat","Skilled Manual",2,"8255 Highland Road",NULL,"1 (11) 500 555-0112","2022-02-18","5-10 Miles"
11060,40,"AW00011060",NULL,"Jon Zhou","1959-09-14","M","M","80000.00",2,0,"Partial College","Estudios universitarios (en curso)","Baccalauréat","Skilled Manual",2,"6574 Hemlock Ave.",NULL,"1 (11) 500 555-0174","2020-03-19","5-10 Miles"
11061,23,"AW00011061",NULL,"Todd Gao","1976-02-20","M","M","80000.00",2,0,"Partial College","Estudios universitarios (en curso)","Baccalauréat","Skilled Manual",2,"8808 Geneva Ave",NULL,"1 (11) 500 555-0191","2020-03-13","5-10 Miles"
11062,547,"AW00011062",NULL,"Noah Powell","1981-03-01","M","M","40000.00",0,0,"High School","Educación secundaria","Bac + 2","Skilled Manual",2,"9794 Marion Ct",NULL,"767-555-0113","2022-01-07","5-10 Miles"
11063,634,"AW00011063",NULL,"Angela Murphy","1980-10-04","S","F","40000.00",0,0,"High School","Educación secundaria","Bac + 2","Skilled Manual",2,"4927 Virgil Street","# 21","451-555-0162","2022-01-12","5-10 Miles"
11064,315,"AW00011064",NULL,"Chase Reed","1981-06-05","M","M","40000.00",0,0,"High School","Educación secundaria","Bac + 2","Skilled Manual",2,"2721 Alexander Pl.",NULL,"892-555-0184","2022-01-25","5-10 Miles"
11065,331,"AW00011065",NULL,"Jessica Henderson","1979-04-08","M","F","60000.00",0,0,"Partial College","Estudios universitarios (en curso)","Baccalauréat","Skilled Manual",2,"9343 Ironwood Way",NULL,"278-555-0186","2022-02-10","1-2 Miles"
11066,543,"AW00011066",NULL,"Grace Butler","1979-05-27","M","F","70000.00",0,0,"Partial College","Estudios universitarios (en curso)","Baccalauréat","Professional",2,"4739 Garden Ave.",NULL,"712-555-0141","2022-05-31","5-10 Miles"
11067,632,"AW00011067",NULL,"Caleb Carter","1982-03-25","S","M","60000.00",0,0,"Partial College","Estudios universitarios (en curso)","Baccalauréat","Professional",2,"9563 Pennsylvania Blvd.",NULL,"944-555-0167","2022-08-18","5-10 Miles"
11068,40,"AW00011068",NULL,"Tiffany Liang","1966-09-19","S","F","80000.00",2,0,"High School","Educación secundaria","Bac + 2","Skilled Manual",2,"3608 Sinclair Avenue","# 701","1 (11) 500 555-0177","2022-04-30","5-10 Miles"
11069,23,"AW00011069",NULL,"Carolyn Navarro","1966-09-17","S","F","80000.00",2,0,"High School","Educación secundaria","Bac + 2","Skilled Manual",2,"4606 Springwood Court",NULL,"1 (11) 500 555-0145","2020-04-17","1-2 Miles"
11070,39,"AW00011070",NULL,"Willie Raji","1960-10-02","M","M","80000.00",2,0,"High School","Educación secundaria","Bac + 2","Skilled Manual",2,"6260 Vernal Drive",NULL,"1 (11) 500 555-0151","2020-04-28","5-10 Miles"
11071,24,"AW00011071",NULL,"Linda Serrano","1960-12-23","S","F","80000.00",2,0,"High School","Educación secundaria","Bac + 2","Skilled Manual",2,"9808 Shaw Rd.",NULL,"1 (11) 500 555-0130","2022-03-01","5-10 Miles"
11072,17,"AW00011072",NULL,"Casey Luo","1960-08-05","S","F","80000.00",2,0,"High School","Educación secundaria","Bac + 2","Skilled Manual",2,"9513 Roslyn Drive",NULL,"1 (11) 500 555-0125","2020-03-31","1-2 Miles"
11073,16,"AW00011073",NULL,"Amy Ye","1962-02-11","S","F","70000.00",2,0,"High School","Educación secundaria","Bac + 2","Skilled Manual",2,"2262 Kirkwood Ct.",NULL,"1 (11) 500 555-0185","2022-03-23","5-10 Miles"
11074,28,"AW00011074",NULL,"Levi Arun","1962-02-25","S","M","70000.00",2,0,"High School","Educación secundaria","Bac + 2","Skilled Manual",2,"4661 Bluetail",NULL,"1 (11) 500 555-0127","2022-03-23","5-10 Miles"
11075,32,"AW00011075",NULL,"Felicia Jimenez","1963-05-16","S","F","80000.00",2,0,"High School","Educación secundaria","Bac + 2","Professional",2,"786 Eastgate Ave",NULL,"1 (11) 500 555-0165","2020-04-28","5-10 Miles"
11076,19,"AW00011076",NULL,"Blake Anderson","1963-01-10","S","M","80000.00",2,0,"High School","Educación secundaria","Bac + 2","Professional",2,"5436 Clear","# 101","1 (11) 500 555-0113","2020-04-21","5-10 Miles"
11077,36,"AW00011077",NULL,"Leah Ye","1963-03-19","S","F","80000.00",2,0,"High School","Educación secundaria","Bac + 2","Professional",2,"1291 Arguello Blvd.",NULL,"1 (11) 500 555-0154","2020-04-15","1-2 Miles"
11078,49,"AW00011078",NULL,"Gina Martin","1985-01-06","S","F","40000.00",0,0,"High School","Educación secundaria","Bac + 2","Professional",2,"1349 Sol St.",NULL,"196-555-0114","2022-02-15","1-2 Miles"
11079,34,"AW00011079",NULL,"Donald Gonzalez","1970-03-07","S","M","160000.00",0,0,"Graduate Degree","Estudios de postgrado","Bac + 3","Management",2,"4236 Malibu Place",NULL,"1 (11) 500 555-0137","2022-03-15","0-1 Miles"
11080,30,"AW00011080",NULL,"Damien Chander","1965-01-13","M","M","170000.00",0,0,"Graduate Degree","Estudios de postgrado","Bac + 3","Management",2,"9941 Stonehedge Dr.",NULL,"1 (11) 500 555-0111","2020-04-10","0-1 Miles"
11081,311,"AW00011081",NULL,"Savannah Baker","1972-01-21","M","F","120000.00",2,2,"Bachelors","Licenciatura","Bac + 4","Management",3,"1210 Trafalgar Circle",NULL,"478-555-0117","2022-02-12","2-5 Miles"
11082,322,"AW00011082",NULL,"Angela Butler","1972-02-01","S","F","130000.00",0,1,"Graduate Degree","Estudios de postgrado","Bac + 3","Management",3,"6040 Listing Ct",NULL,"579-555-0195","2022-01-22","1-2 Miles"
11083,336,"AW00011083",NULL,"Alyssa Cox","1977-03-11","M","F","130000.00",0,1,"Graduate Degree","Estudios de postgrado","Bac + 3","Management",3,"867 La Orinda Place",NULL,"561-555-0140","2022-01-06","1-2 Miles"
11084,543,"AW00011084",NULL,"Lucas Phillips","1963-03-12","S","M","80000.00",2,0,"Partial High School","Educación secundaria (en curso)","Niveau bac","Skilled Manual",2,"8668 St. Celestine Court",NULL,"863-555-0172","2022-01-04","1-2 Miles"
11085,345,"AW00011085",NULL,"Emily Johnson","1963-01-16","S","F","60000.00",2,0,"High School","Educación secundaria","Bac + 2","Professional",2,"7926 Stephanie Way",NULL,"850-555-0184","2022-12-06","5-10 Miles"
11086,369,"AW00011086",NULL,"Ryan Brown","1963-06-22","M","M","70000.00",2,1,"Partial College","Estudios universitarios (en curso)","Baccalauréat","Professional",0,"2939 Wesley Ct.",NULL,"539-555-0198","2022-07-02","0-1 Miles"
11087,307,"AW00011087",NULL,"Tamara Liang","1963-04-02","M","F","70000.00",3,2,"Partial College","Estudios universitarios (en curso)","Baccalauréat","Professional",0,"3791 Rossmor Parkway",NULL,"178-555-0152","2022-02-25","0-1 Miles"
11088,359,"AW00011088",NULL,"Hunter Davis","1963-05-25","M","M","80000.00",2,1,"Bachelors","Licenciatura","Bac + 4","Management",0,"4308 Sand Pointe Lane",NULL,"612-555-0141","2022-01-13","2-5 Miles"
11089,337,"AW00011089",NULL,"Abigail Price","1962-08-05","S","F","80000.00",2,1,"Bachelors","Licenciatura","Bac + 4","Management",1,"2685 Blackburn Ct",NULL,"532-555-0117","2021-12-29","2-5 Miles"
11090,338,"AW00011090",NULL,"Trevor Bryant","1968-12-13","S","M","90000.00",2,0,"Partial College","Estudios universitarios (en curso)","Baccalauréat","Professional",1,"5781 Sharon Dr.",NULL,"853-555-0174","2020-08-07","2-5 Miles"
11091,50,"AW00011091",NULL,"Dalton Perez","1962-10-02","M","M","90000.00",2,0,"Partial College","Estudios universitarios (en curso)","Baccalauréat","Professional",1,"6083 San Jose",NULL,"559-555-0115","2022-01-29","5-10 Miles"
11092,22,"AW00011092",NULL,"Cheryl Diaz","1972-11-02","M","F","90000.00",2,2,"Bachelors","Licenciatura","Bac + 4","Professional",0,"7297 Kaywood Drive",NULL,"1 (11) 500 555-0192","2020-04-08","1-2 Miles"
11093,19,"AW00011093",NULL,"Aimee He","1978-09-06","M","F","100000.00",0,0,"Graduate Degree","Estudios de postgrado","Bac + 3","Management",0,"1833 Olympic Drive",NULL,"1 (11) 500 555-0161","2020-04-07","0-1 Miles"
11094,33,"AW00011094",NULL,"Cedric Ma","1967-09-29","S","M","70000.00",1,0,"Partial College","Estudios universitarios (en curso)","Baccalauréat","Skilled Manual",1,"3407 Oak Brook Place",NULL,"1 (11) 500 555-0115","2022-04-07","0-1 Miles"
11095,13,"AW00011095",NULL,"Chad Kumar","1968-02-29","S","M","70000.00",1,0,"Partial College","Estudios universitarios (en curso)","Baccalauréat","Skilled Manual",1,"1681 Lighthouse Way",NULL,"1 (11) 500 555-0151","2020-04-01","5-10 Miles"
11096,12,"AW00011096",NULL,"Andrés Anand","1968-02-07","M","M","60000.00",1,0,"Bachelors","Licenciatura","Bac + 4","Professional",1,"5423 Los Gatos Ct.",NULL,"1 (11) 500 555-0184","2020-04-11","5-10 Miles"
11097,40,"AW00011097",NULL,"Edwin Nara","1972-10-23","M","M","60000.00",1,0,"Partial College","Estudios universitarios (en curso)","Baccalauréat","Skilled Manual",1,"719 William Way",NULL,"1 (11) 500 555-0112","2020-04-04","5-10 Miles"
11098,14,"AW00011098",NULL,"Mallory Rubio","1966-10-29","S","F","60000.00",1,0,"Partial College","Estudios universitarios (en curso)","Baccalauréat","Skilled Manual",1,"6452 Harris Circle",NULL,"1 (11) 500 555-0157","2022-02-11","0-1 Miles"
11099,13,"AW00011099",NULL,"Adam Ross","1966-09-05","M","M","60000.00",1,0,"Bachelors","Licenciatura","Bac + 4","Professional",1,"4378 Westminster Place",NULL,"1 (11) 500 555-0186","2020-04-07","0-1 Miles"
11100,28,"AW00011100",NULL,"Latasha Navarro","1966-03-15","S","F","60000.00",1,0,"Partial College","Estudios universitarios (en curso)","Baccalauréat","Skilled Manual",1,"6954 Ranch Road",NULL,"1 (11) 500 555-0123","2020-04-16","5-10 Miles"
11101,33,"AW00011101",NULL,"Abby Sai","1970-11-05","S","F","70000.00",0,0,"Bachelors","Licenciatura","Bac + 4","Professional",1,"7074 N. Spoonwood Court",NULL,"1 (11) 500 555-0174","2020-04-29","0-1 Miles"
11102,18,"AW00011102",NULL,"Julia Nelson","1970-10-19","S","F","80000.00",5,5,"Bachelors","Licenciatura","Bac + 4","Professional",4,"2196 Coat Ct.",NULL,"1 (11) 500 555-0124","2022-07-16","1-2 Miles"
11103,3,"AW00011103",NULL,"Cassie Chande","1981-04-12","S","F","70000.00",0,0,"Bachelors","Licenciatura","Bac + 4","Professional",1,"9448 San Marino Ct.",NULL,"1 (11) 500 555-0166","2020-04-15","5-10 Miles"
11104,23,"AW00011104",NULL,"Edgar Sara","1975-03-08","M","M","70000.00",0,0,"Bachelors","Licenciatura","Bac + 4","Professional",1,"6127 Lilly Lane",NULL,"1 (11) 500 555-0125","2020-05-04","0-1 Miles"
11105,8,"AW00011105",NULL,"Candace Fernandez","1970-06-27","S","F","70000.00",0,0,"Bachelors","Licenciatura","Bac + 4","Professional",1,"5029 Blue Ridge",NULL,"1 (11) 500 555-0162","2020-05-14","5-10 Miles"
11106,40,"AW00011106",NULL,"Jessie Liu","1970-03-11","S","M","70000.00",0,0,"Bachelors","Licenciatura","Bac + 4","Professional",1,"3063 Blue Jay Drive",NULL,"1 (11) 500 555-0163","2020-05-18","5-10 Miles"
11107,17,"AW00011107",NULL,"Bianca Lin","1976-03-04","M","F","90000.00",1,0,"Bachelors","Licenciatura","Bac + 4","Professional",1,"7530 Eola",NULL,"1 (11) 500 555-0121","2020-05-01","5-10 Miles"
11108,13,"AW00011108",NULL,"Kari Alvarez","1969-01-10","S","F","70000.00",0,0,"Bachelors","Licenciatura","Bac + 4","Professional",2,"9178 Thornhill Place",NULL,"1 (11) 500 555-0169","2020-05-03","0-1 Miles"
11109,38,"AW00011109",NULL,"Ruben Kapoor","1980-04-30","S","M","70000.00",0,0,"Bachelors","Licenciatura","Bac + 4","Professional",2,"1984 Glendale Circle",NULL,"1 (11) 500 555-0132","2020-05-10","0-1 Miles"
11110,3,"AW00011110",NULL,"Curtis Yang","1967-12-04","M","M","60000.00",1,0,"Partial College","Estudios universitarios (en curso)","Baccalauréat","Skilled Manual",1,"4052 Mt. Wilson Way",NULL,"1 (11) 500 555-0127","2020-05-01","5-10 Miles"
